time,x,y,z,yaw,x_des,y_des,z_des,yaw_des
10.54000,-0.62639,1.21818,1.01640,0.00000,0.00000,-0.00118,1.00000,0.00000,
10.57000,-0.62722,1.21698,1.01619,-0.00000,0.00000,-0.00142,1.00000,0.00000,
10.64000,-0.62763,1.21636,1.01609,-0.00000,0.00000,-0.00209,1.00000,0.00000,
10.67000,-0.62829,1.21529,1.01592,-0.00001,0.00000,-0.00244,1.00000,0.00000,
10.70000,-0.62854,1.21485,1.01585,-0.00001,0.00000,-0.00295,1.00000,0.00000,
10.74000,-0.62930,1.21347,1.01565,-0.00001,0.00000,-0.00338,1.00000,0.00000,
10.80000,-0.63015,1.21172,1.01541,-0.00001,0.00000,-0.00454,1.00000,0.00000,
10.84000,-0.63074,1.21038,1.01523,-0.00002,0.00000,-0.00572,1.00000,0.00000,
10.87000,-0.63086,1.21010,1.01520,-0.00002,0.00000,-0.00661,1.00000,0.00000,
10.94000,-0.63177,1.20774,1.01492,-0.00002,0.00001,-0.00733,1.00000,0.00000,
11.00000,-0.63210,1.20679,1.01482,-0.00002,0.00001,-0.00922,1.00000,0.00000,
11.04000,-0.63254,1.20546,1.01468,-0.00003,0.00001,-0.01011,1.00000,0.00000,
11.07000,-0.63275,1.20476,1.01461,-0.00003,0.00001,-0.01106,1.00000,0.00000,
11.10000,-0.63329,1.20294,1.01443,-0.00003,0.00002,-0.01242,1.00000,0.00000,
11.14000,-0.63360,1.20178,1.01433,-0.00003,0.00002,-0.01350,1.00000,0.00000,
11.17000,-0.63391,1.20058,1.01423,-0.00003,0.00002,-0.01465,1.00000,0.00000,
11.20000,-0.63452,1.19800,1.01402,-0.00004,0.00003,-0.01627,1.00000,0.00000,
11.27000,-0.63502,1.19569,1.01384,-0.00004,0.00004,-0.01892,1.00000,0.00000,
11.30000,-0.63531,1.19422,1.01373,-0.00004,0.00004,-0.02083,1.00000,0.00000,
11.34000,-0.63551,1.19321,1.01366,-0.00004,0.00005,-0.02235,1.00000,0.00000,
11.37000,-0.63590,1.19110,1.01352,-0.00005,0.00006,-0.02393,1.00000,0.00000,
11.40000,-0.63628,1.18886,1.01338,-0.00005,0.00007,-0.02615,1.00000,0.00000,
11.44000,-0.63685,1.18526,1.01317,-0.00005,0.00008,-0.02791,1.00000,0.00000,
11.50000,-0.63723,1.18270,1.01303,-0.00005,0.00010,-0.03229,1.00000,0.00000,
11.54000,-0.63751,1.18069,1.01292,-0.00006,0.00012,-0.03430,1.00000,0.00000,
11.57000,-0.63815,1.17570,1.01267,-0.00006,0.00013,-0.03638,1.00000,0.00000,
11.60000,-0.63842,1.17343,1.01256,-0.00006,0.00017,-0.04157,1.00000,0.00000,
11.67000,-0.63869,1.17108,1.01245,-0.00006,0.00019,-0.04393,1.00000,0.00000,
11.70000,-0.63897,1.16865,1.01234,-0.00007,0.00022,-0.04721,1.00000,0.00000,
11.74000,-0.63924,1.16613,1.01223,-0.00007,0.00025,-0.04977,1.00000,0.00000,
11.77000,-0.63996,1.15901,1.01194,-0.00007,0.00027,-0.05242,1.00000,0.00000,
11.84000,-0.64023,1.15617,1.01183,-0.00007,0.00035,-0.05894,1.00000,0.00000,
